Date,Currency,Base,Counter,Cropto,Price,Percent,rAlign
2017-12-21 00:55:00,네오,NEO,ETH,0.08599959,"91,590 KRW",-1.20%,"4,562.793"
2017-12-21 00:55:00,지캐시,ZEC,ETH,0.80999978,"862,650 KRW",+10.35%,"4,223.451"
2017-12-21 00:55:00,이더리움클래식,ETC,ETH,0.04790463,"51,018 KRW",+2.53%,"3,776.088"
2017-12-21 00:55:00,오미세고,OMG,ETH,0.02155304,"22,954 KRW",-2.15%,"3,542.061"
2017-12-21 00:55:00,스텔라루멘,XLM,ETH,0.00032135,342 KRW,-1.12%,"2,984.257"
2017-12-21 00:55:00,뉴이코노미무브먼트,XEM,ETH,0.00116000,"1,235 KRW",+1.76%,"2,060.677"
2017-12-21 00:55:00,어거,REP,ETH,0.10799907,"115,019 KRW",-27.52%,"1,811.221"
2017-12-21 00:55:00,텐엑스페이토큰,PAY,ETH,0.00409400,"4,360 KRW",-2.45%,"1,782.981"
2017-12-21 00:55:00,골렘,GNT,ETH,0.00077679,827 KRW,+10.18%,"1,512.337"
2017-12-21 00:55:00,시아코인,SC,ETH,0.00002700,28.76 KRW,+34.66%,"1,182.874"
2017-12-21 00:55:00,시빅,CVC,ETH,0.00077353,824 KRW,+5.57%,"1,064.315"
2017-12-21 00:55:00,디지바이트,DGB,ETH,0.00006423,68.40 KRW,+29.11%,"1,035.475"
2017-12-21 00:55:00,스트라티스,STRAT,ETH,0.01366019,"14,548 KRW",-5.79%,969.600
2017-12-21 00:55:00,파워렛저,POWR,ETH,0.00124465,"1,326 KRW",-5.03%,945.229
2017-12-21 00:55:00,웨이브,WAVES,ETH,0.01830000,"19,490 KRW",-6.38%,695.793
2017-12-21 00:55:00,펀페어,FUN,ETH,0.00006171,65.72 KRW,-9.25%,690.794
2017-12-21 00:55:00,스토리지,STORJ,ETH,0.00203679,"2,169 KRW",+20.39%,684.677
2017-12-21 00:55:00,솔트,SALT,ETH,0.01139749,"12,138 KRW",-8.70%,640.184
2017-12-21 00:55:00,베이직어텐션토큰,BAT,ETH,0.00041106,438 KRW,-9.55%,638.406
