Id,Name,Currency,Base,Counter,Volume($),Price($),Volume(%),Date
196, Bittrex ,BitBean,BITB,BTC,"1,852,830",0.008209,0.04%,2017-12-21
197, Bittrex ,Expanse,EXP,BTC,"1,828,250",3.78,0.04%,2017-12-21
198, Bittrex ,Blitzcash,BLITZ,BTC,"1,706,210",2.25,0.04%,2017-12-21
199, Bittrex ,Syndicate,SYNX,BTC,"1,668,640",0.585749,0.04%,2017-12-21
200, Bittrex ,NEM,XEM,ETH,"1,664,990",0.952384,0.04%,2017-12-21
201, Bittrex ,Global Currency Reserve,GCR,BTC,"1,648,910",0.238062,0.04%,2017-12-21
202, Bittrex ,Augur,REP,ETH,"1,623,640",90.07,0.04%,2017-12-21
203, Bittrex ,Kore,KORE,BTC,"1,617,870",6.29,0.04%,2017-12-21
204, Bittrex ,district0x,DNT,BTC,"1,605,940",0.083288,0.04%,2017-12-21
205, Bittrex ,Burst,BURST,BTC,"1,602,230",0.028390,0.04%,2017-12-21
206, Bittrex ,Dynamic,DYN,BTC,"1,596,910",4.38,0.04%,2017-12-21
207, Bittrex ,Peercoin,PPC,BTC,"1,594,030",5.98,0.04%,2017-12-21
208, Bittrex ,WeTrust,TRST,BTC,"1,593,100",0.540599,0.04%,2017-12-21
209, Bittrex ,DopeCoin,DOPE,BTC,"1,577,130",0.094062,0.04%,2017-12-21
210, Bittrex ,Gnosis,GNO,BTC,"1,533,480",210.70,0.04%,2017-12-21
211, Bittrex ,Counterparty,XCP,BTC,"1,529,960",36.77,0.04%,2017-12-21
212, Bittrex ,TenX,PAY,ETH,"1,418,920",3.29,0.03%,2017-12-21
213, Bittrex ,Mercury,MER,BTC,"1,417,200",0.773188,0.03%,2017-12-21
214, Bittrex ,ZClassic,ZCL,BTC,"1,413,410",5.13,0.03%,2017-12-21
215, Bittrex ,Aragon,ANT,BTC,"1,386,420",3.08,0.03%,2017-12-21
216, Bittrex ,SingularDTV,SNGLS,BTC,"1,346,070",0.197359,0.03%,2017-12-21
217, Bittrex ,ExclusiveCoin,EXCL,BTC,"1,307,250",2.29,0.03%,2017-12-21
218, Bittrex ,Bancor,BNT,BTC,"1,278,270",4.65,0.03%,2017-12-21
219, Bittrex ,Rubycoin,RBY,BTC,"1,259,300",1.13,0.03%,2017-12-21
220, Bittrex ,ClubCoin,CLUB,BTC,"1,243,670",2.90,0.03%,2017-12-21
221, Bittrex ,FlorinCoin,FLO,BTC,"1,220,580",0.241482,0.03%,2017-12-21
222, Bittrex ,DigixDAO,DGD,BTC,"1,197,450",173.35,0.03%,2017-12-21
223, Bittrex ,Particl,PART,BTC,"1,158,810",11.75,0.03%,2017-12-21
224, Bittrex ,Quantum Resistant Ledger,QRL,BTC,"1,153,360",1.63,0.03%,2017-12-21
225, Bittrex ,GoldCoin,GLD,BTC,"1,150,360",0.331611,0.03%,2017-12-21
226, Bittrex ,Golem,GNT,ETH,"1,147,050",0.611349,0.03%,2017-12-21
227, Bittrex ,LoMoCoin,LMC,BTC,"1,142,990",0.089615,0.03%,2017-12-21
228, Bittrex ,CloakCoin,CLOAK,BTC,"1,111,160",14.66,0.03%,2017-12-21
229, Bittrex ,Feathercoin,FTC,BTC,"1,093,180",0.413872,0.03%,2017-12-21
230, Bittrex ,SIBCoin,SIB,BTC,"1,072,900",3.25,0.03%,2017-12-21
231, Bittrex ,TransferCoin,TX,BTC,"1,025,750",3.41,0.02%,2017-12-21
232, Bittrex ,Wings,WINGS,BTC,"1,005,950",0.855279,0.02%,2017-12-21
233, Bittrex ,Musicoin,MUSIC,BTC,"994,187",0.032152,0.02%,2017-12-21
234, Bittrex ,ParkByte,PKB,BTC,"906,999",1.27,0.02%,2017-12-21
235, Bittrex ,Siacoin,SC,ETH,"901,625",0.021110,0.02%,2017-12-21
236, Bittrex ,Civic,CVC,ETH,"883,434",0.631293,0.02%,2017-12-21
237, Bittrex ,Agoras Tokens,AGRS,BTC,"856,126",2.05,0.02%,2017-12-21
238, Bittrex ,Swarm City,SWT,BTC,"830,718",2.52,0.02%,2017-12-21
239, Bittrex ,Stratis,STRAT,ETH,"793,508",11.11,0.02%,2017-12-21
240, Bittrex ,Shift,SHIFT,BTC,"791,142",3.52,0.02%,2017-12-21
241, Bittrex ,DigiByte,DGB,ETH,"779,227",0.053881,0.02%,2017-12-21
242, Bittrex ,Power Ledger,POWR,ETH,"774,533",1.03,0.02%,2017-12-21
243, Bittrex ,Melon,MLN,BTC,"747,844",132.85,0.02%,2017-12-21
244, Bittrex ,Omni,OMNI,BTC,"726,395",78.83,0.02%,2017-12-21
245, Bittrex ,MonetaryUnit,MUE,BTC,"721,243",0.273977,0.02%,2017-12-21
